[9, 8, 1, 18, 15, 1, 12, 9, 1, 13, 2, 1, 5, 15, 1, 9, 12, 1, 11, 10, 0, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[9, 8, 1, 18, 15, 1, 12, 9, 1, 13, 2, 1, 5, 15, 1, 9, 12, 1, 11, 10, 0, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[4, 8, 1, 18, 15, 4, 12, 10, 5, 13, 2, 3, 4, 15, 2, 7, 12, 6, 5, 10, 1, 2, 13, 1, 12, 2, 1, 17, 13, 1, 10, 7, 1, 10, 11, 1]
[4, 8, 1, 18, 15, 4, 12, 10, 5, 13, 2, 3, 4, 15, 2, 7, 12, 6, 5, 10, 1, 2, 13, 1, 12, 2, 1, 17, 13, 1, 10, 7, 1, 10, 11, 1]
[8, 8, 4, 18, 15, 2, 12, 10, 1, 13, 2, 3, 5, 15, 1, 7, 12, 1, 7, 10, 1, 17, 13, 1, 11, 2, 1, 8, 10, 1, -1000, -1000, -1000, -1000, -1000, -1000]
[9, 8, 1, 18, 15, 1, 12, 9, 1, 13, 2, 2, 5, 15, 1, 9, 12, 1, 11, 11, 0, 12, 2, 0, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[7, 8, 1, 18, 15, 4, 12, 10, 5, 13, 3, 3, 4, 15, 2, 8, 12, 2, 7, 10, 1, 2, 13, 1, 12, 4, 0, 17, 13, 0, 10, 7, 1, -1000, -1000, -1000]
[8, 8, 1, 18, 15, 2, 12, 8, 3, 13, 2, 3, 5, 15, 1, 7, 12, 1, 7, 10, 1, 17, 13, 1, 12, 2, 1, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[8, 8, 1, 18, 15, 2, 12, 10, 4, 13, 1, 3, 5, 15, 1, 7, 12, 1, 7, 11, 1, 17, 13, 0, 12, 2, 0, 8, 10, 1, -1000, -1000, -1000, -1000, -1000, -1000]
[4, 8, 1, 18, 15, 4, 12, 10, 6, 13, 3, 3, 5, 15, 2, 8, 12, 5, 5, 10, 1, 5, 13, 1, 11, 4, 1, 17, 13, 0, 10, 14, 1, 11, 11, 0]
[4, 8, 1, 18, 15, 4, 12, 10, 5, 13, 3, 3, 4, 15, 2, 8, 12, 5, 5, 10, 1, 2, 13, 1, 12, 4, 1, 17, 13, 1, 10, 14, 1, -1000, -1000, -1000]
[8, 8, 1, 18, 15, 2, 12, 10, 1, 13, 1, 3, 5, 15, 1, 7, 12, 1, 7, 11, 1, 16, 16, 1, 12, 2, 0, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[8, 8, 1, 18, 15, 2, 12, 8, 4, 13, 2, 3, 5, 15, 1, 7, 12, 1, 7, 10, 1, 17, 13, 1, 12, 2, 1, 8, 10, 0, -1000, -1000, -1000, -1000, -1000, -1000]
[4, 8, 1, 18, 15, 4, 12, 10, 5, 13, 2, 3, 4, 15, 2, 8, 12, 6, 5, 10, 1, 2, 13, 1, 12, 2, 1, 17, 13, 0, 10, 7, 1, 10, 11, 1]
[8, 8, 1, 18, 15, 2, 12, 8, 3, 13, 2, 3, 5, 15, 1, 7, 12, 1, 7, 10, 1, 17, 13, 1, 12, 2, 1, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[8, 8, 1, 18, 15, 2, 12, 8, 4, 13, 2, 3, 5, 15, 1, 7, 12, 1, 7, 10, 1, 17, 13, 1, 12, 2, 1, 8, 10, 0, -1000, -1000, -1000, -1000, -1000, -1000]
[4, 8, 1, 18, 15, 4, 12, 10, 5, 13, 2, 3, 4, 15, 2, 8, 12, 6, 5, 10, 1, 2, 13, 1, 12, 2, 1, 17, 13, 0, 10, 7, 1, 10, 11, 1]
[4, 8, 1, 18, 15, 4, 12, 10, 6, 13, 3, 3, 5, 15, 2, 8, 12, 5, 5, 10, 1, 5, 13, 1, 11, 4, 1, 17, 13, 0, 10, 14, 1, 11, 11, 0]
[8, 8, 1, 18, 15, 2, 12, 10, 4, 13, 1, 3, 5, 15, 1, 7, 12, 1, 7, 11, 1, 17, 13, 0, 12, 2, 0, 8, 10, 1, -1000, -1000, -1000, -1000, -1000, -1000]
[9, 8, 1, 18, 15, 1, 12, 11, 1, 13, 3, 1, 5, 15, 2, 9, 12, 1, 11, 10, 1, 5, 13, 0, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[9, 8, 1, 18, 15, 1, 12, 11, 1, 13, 3, 1, 5, 15, 2, 9, 12, 1, 11, 10, 1, 5, 13, 0, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[9, 8, 1, 18, 15, 1, 12, 11, 1, 14, 3, 1, 5, 15, 2, 9, 12, 1, 11, 10, 1, 5, 13, 1, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[9, 8, 1, 18, 15, 1, 12, 9, 1, 13, 2, 1, 5, 15, 1, 9, 12, 1, 11, 10, 1, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[7, 8, 1, 18, 15, 4, 12, 10, 5, 13, 3, 3, 4, 15, 2, 7, 12, 2, 7, 10, 1, 2, 13, 1, 12, 4, 0, 17, 13, 1, 10, 7, 1, -1000, -1000, -1000]
[7, 8, 1, 18, 15, 4, 12, 10, 5, 13, 3, 3, 4, 15, 2, 7, 12, 2, 7, 10, 1, 2, 13, 1, 12, 4, 0, 17, 13, 1, 10, 7, 1, -1000, -1000, -1000]
[8, 8, 1, 18, 15, 2, 12, 10, 1, 13, 1, 3, 5, 15, 1, 7, 12, 1, 7, 11, 1, 16, 16, 1, 12, 2, 0, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[7, 8, 1, 18, 15, 4, 12, 10, 5, 13, 3, 3, 4, 15, 2, 8, 12, 2, 7, 10, 1, 2, 13, 1, 12, 4, 0, 17, 13, 0, 10, 7, 1, -1000, -1000, -1000]
[4, 8, 1, 18, 15, 4, 12, 10, 5, 13, 3, 3, 4, 15, 2, 8, 12, 5, 5, 10, 1, 2, 13, 1, 12, 4, 1, 17, 13, 1, 10, 14, 1, -1000, -1000, -1000]
[8, 8, 1, 18, 15, 2, 12, 11, 1, 14, 3, 3, 5, 15, 1, 7, 12, 1, 7, 11, 1, 16, 16, 0, 16, 1, 0, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[9, 8, 1, 18, 15, 1, 12, 11, 1, 14, 3, 1, 5, 15, 2, 9, 12, 1, 11, 10, 1, 5, 13, 1, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[8, 8, 1, 18, 15, 2, 12, 11, 1, 14, 3, 3, 5, 15, 1, 7, 12, 1, 7, 11, 1, 16, 16, 0, 16, 1, 0, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
[9, 8, 1, 18, 15, 1, 12, 9, 1, 13, 2, 1, 5, 15, 1, 9, 12, 1, 11, 10, 1, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000, -1000]
